"StationID","WQS_ID","Buffer Distance","Comments"
"2-POL017.59","LP_2B_012544","Manual Review | NA","Manual Accept |"
"2-SHS001.00","LP_2B_012546","Manual Review | NA","Manual Accept |"
"2-MIN000.98","LP_2B_012545","Manual Review | NA","Manual Accept |"
"2-JKS044.60","LP_2A_005412","Manual Review | NA","Manual Accept | All in Lake Moomaw"
"2-JKS046.40","LP_2A_005412","Manual Review | NA","Manual Accept | All in Lake Moomaw"
"2-JKS048.90","LP_2A_005412","Manual Review | NA","Manual Accept | All in Lake Moomaw"
"2-JKS053.48","LP_2A_005412","Manual Review | NA","Manual Accept | All in Lake Moomaw"
"4ABAU005.34","LP_4A_003238","Manual Review | NA","Manual Accept |"
"4ABAN012.46","LP_4A_008523","Manual Review | NA","Manual Accept |"
"2-JKS036.11","RL_2A_074876","Manual Review | 80 m","Manual Accept | The two WQS segments appear to have identical information."
"2-JKS026.01","RL_2A_073587","Manual Review | 20 m","Manual Accept |"
"2-MIV000.39","RL_2A_075555","Manual Review | 20 m","Manual Accept |"
"2-LMC001.37","RL_2A_072669","Manual Review | 60 m","Manual Accept |"
"2AFAW000.01","RL_2A_072630","Manual Review | 20 m","Manual Accept |"
"2-POT030.66","RL_2A_067146","Manual Review | 20 m","Manual Accept |"
"4ARFK000.20","LP_4A_006100","Manual Review | NA","Manual Accept |"
"4ACRR008.32","LP_4A_006101","Manual Review | NA","Manual Accept |"
"4ADAN194.10","LP_4A_002128","Manual Review | NA","Manual Accept |"
"2-CRG026.85","RL_2A_069659","Manual Review | 20 m","Manual Accept |"
"2-CRG028.87","RL_2A_069687","Manual Review | 20 m","Manual Accept |"
"2-CRG053.15","RL_2A_066872","Manual Review | 20 m","Manual Accept |"
"2-DCK003.58","RL_2A_066336","Manual Review | 20 m","Manual Accept |"
"2-CWP002.58","RL_2A_075917","Manual Review | 40 m","Manual Accept |"
"2-JMS345.73","RL_2A_075926","Manual Review | 20 m","Manual Accept |"
"4ACRV006.19","LP_4A_005052","Manual Review | NA","Manual Accept |"
"4ASRN005.14","LP_4A_015195","Manual Review | NA","Manual Accept |"
"4AHTA003.26","LP_4A_010473","Manual Review | NA","Manual Accept |"
"2-BMT000.07","RL_2B_116247","Manual Review | 40 m","Manual Accept |"
"2BJMS221.84","RL_2B_120697","Manual Review | 60 m","Manual Accept |"
"2BANC000.09","RL_2B_120546","Manual Review | 20 m","Manual Accept |"
"2-JMS275.75","RL_2B_111147","Manual Review | 20 m","Manual Accept |"
"2-JTH006.53","RL_2B_113069","Manual Review | 20 m","Manual Accept |"
"2-FSG000.85","RL_2B_112703","Manual Review | 40 m","Manual Accept |"
"2-JTH006.53","RL_2B_112703","Manual Review | 20 m","Manual Accept |"
"4ASRE048.98","LP_4A_002602","Manual Review | NA","Manual Accept |"
"4ASRE052.31","LP_4A_002602","Manual Review | NA","Manual Accept |"
"4ASRE056.06","LP_4A_002602","Manual Review | NA","Manual Accept |"
"4AGOB003.86","LP_4A_002601","Manual Review | NA","Manual Accept |"
"4ABSA000.62","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ABWR002.50","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ACOA000.60","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ACCK001.80","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA163.76","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AWTH000.40","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ABWR010.55","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ABWR017.42","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4ABWR019.75","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA167.34","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AGIL002.39","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AGIL004.46","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA175.63","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA180.21","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA183.64","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA192.94","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA196.05","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA158.22","LP_4A_004493","Manual Review | NA","Manual Accept |"
"4AROA140.66","LP_4A_007204","Manual Review | NA","Manual Accept |"
"4AROA145.34","LP_4A_007204","Manual Review | NA","Manual Accept |"
"9-ADR000.13","RL_09_042651","Manual Review | 20 m","Manual Accept |"
"9-WLK004.34","RL_09_043233","Manual Review | 20 m","Manual Accept |"
"9-SGG000.07","RL_09_043004","Manual Review | 20 m","Manual Accept |"
"9-LWK000.77","RL_09_042242","Manual Review | 60 m","Manual Accept |"
"9-LWK014.95","RL_09_039689","Manual Review | 20 m","Manual Accept |"
"9-SNK005.38","RL_09_064097","Manual Review | 40 m","Manual Accept |"
"9-XEH000.01","RL_09_050159","Manual Review | 20 m","Manual Accept |"
"9-LRV000.34","RL_09_048649","Manual Review | 20 m","Manual Accept |"
"9-BMK001.11","RL_09_040606","Manual Review | 40 m","Manual Accept |"
"4ADAY003.97","RL_4A_070966","Manual Review | 40 m","Manual Accept |"
"4ARNF013.60","RL_4A_052124","Manual Review | 80 m","Manual Accept |"
"4ARSF014.02","RL_4A_051974","Manual Review | 20 m","Manual Accept |"
"4ABTM004.48","RL_4A_052411","Manual Review | 20 m","Manual Accept |"
"4AROA199.20","RL_4A_060896","Manual Review | 20 m","Manual Accept |"
"4AWLF000.09","RL_4A_088984","Manual Review | 20 m","Manual Accept |"
"4ALOR008.64","RL_4A_109924","Manual Review | 20 m","Manual Accept |"
"4AGSE022.55","RL_4A_089123","Manual Review | 40 m","Manual Accept |"
"4AMEY016.00","RL_4A_092842","Manual Review | 60 m","Manual Accept |"
"4ABOR012.18","RL_4A_092023","Manual Review | 40 m","Manual Accept |"
"4AMEY010.46","RL_4A_104294","Manual Review | 40 m","Manual Accept |"
"4AFRV010.99","RL_4A_104082","Manual Review | 40 m","Manual Accept |"
"4AFRV003.07","RL_4A_103315","Manual Review | 40 m","Manual Accept |"
"4AROA000.00","LP_4A_014340","Manual Review | NA","Manual Accept |"
"4AROA004.54","LP_4A_014340","Manual Review | NA","Manual Accept |"
"4AROA008.66","LP_4A_014340","Manual Review | NA","Manual Accept |"
"4AROA032.42","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA018.36","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA028.04","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4ABHB004.40","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA038.49","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA043.14","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AMES007.54","LP_4A_014357","Manual Review | NA","Manual Accept |"
"4ABST001.13","LP_4A_009499","Manual Review | NA","Manual Accept |"
"4ABMA002.00","LP_4A_009408","Manual Review | NA","Manual Accept |"
"4ADAN000.00","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA022.52","LP_4A_013612","Manual Review | NA","Manual Accept |"
"4AROA012.08","RL_4A_132107","Manual Review | NA","Manual Accept | Trend parameters"
"4ABAA008.67","RL_4A_060743","Manual Review | 20 m","Manual Accept |"
"9-NEW087.14","LP_09_001935","Manual Review | NA","Manual Accept |"
"9-NEW089.34","LP_09_001935","Manual Review | NA","Manual Accept |"
"9-NEW092.66","LP_09_001867","Manual Review | NA","Manual Accept |"
"9-PKC000.00","LP_09_001867","Manual Review | NA","Manual Accept |"
"9-NEW098.32","LP_09_001867","Manual Review | NA","Manual Accept |"
"9-PKC004.16","LP_09_001936","Manual Review | NA","Manual Accept |"
"9-PKC004.65","LP_09_001934","Manual Review | NA","Manual Accept |"
"9-PKC016.91","LP_09_001715","Manual Review | NA","Manual Accept |"
"9-PKC017.71","LP_09_001715","Manual Review | NA","Manual Accept |"
"4ASRE051.06","LP_4A_002602","Manual Review | NA","Manual Accept |"
"4ALVL003.26","RL_4A_062850","Manual Review | 20 m","Manual Accept |"
"4AGCR000.01","RL_4A_058856","Manual Review | 40 m","Manual Accept |"
"4ABNR001.53","RL_4A_058810","Manual Review | 20 m","Manual Accept |"
"4ALNE006.56","RL_4A_129994","Manual Review | NA","Manual Accept | moved to riverine"
"4ABEE000.80","RL_4A_098173","Manual Review | NA","Manual Accept | moved to riverine"
"4APEN000.05","RL_4A_097536","Manual Review | NA","Manual Accept | moved to riverine"
"4APET004.35","RL_4A_097552","Manual Review | NA","Manual Accept | moved to riverine"
"4ALFF001.85","RL_4A_098318","Manual Review | NA","Manual Accept | moved to riverine, Rt 58 bridge"
"4AGIB000.66","RL_4A_097517","Manual Review | NA","Manual Accept | moved to riverine"
